setting,seed,p,K,t,camera_coef,license_coef,loss_ratio,nonadopter_rate_change,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,promised,realized,true_cut,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only
baseline,0,0.1,3,1,-0.441514,-0.714825,0.732311,0,0.114409,0.153597,0.268006,0.254968,0.212287,0.261554,0.0942928,0.0949673,0.39206,-0.096731
baseline,0,0.1,3,2,-0.461476,-0.662742,0.760127,-0.0361251,0.11544,0.136942,0.252382,0.254968,0.219746,0.261554,0.0942928,0.0966283,0.39206,-0.0860074
baseline,0,0.1,3,3,-0.468225,-0.587516,0.76248,-0.0252387,0.112525,0.116188,0.228713,0.254968,0.228612,0.261554,0.0942928,0.0958423,0.39206,-0.072082
baseline,0,0.1,3,4,-0.458184,-0.509264,0.772303,-0.0344086,0.104469,0.0953448,0.199814,0.254968,0.24174,0.261554,0.0942928,0.0963062,0.39206,-0.0517803
baseline,0,0.1,3,5,-0.436023,-0.524632,0.776579,-0.0365318,0.100977,0.100044,0.201021,0.254968,0.240605,0.261554,0.0942928,0.096052,0.39206,-0.0531823
baseline,0,0.1,3,6,-0.427647,-0.563668,0.777678,-0.0464042,0.0999695,0.108825,0.208794,0.254968,0.238559,0.261554,0.0942928,0.0976927,0.39206,-0.0567179
baseline,0,0.1,3,7,-0.437213,-0.569478,0.763276,-0.037757,0.103173,0.110931,0.214104,0.254968,0.236742,0.261554,0.0942928,0.0967887,0.39206,-0.058573
baseline,0,0.1,3,8,-0.475512,-0.546682,0.753339,-0.0324608,0.109287,0.103205,0.212492,0.254968,0.241695,0.261554,0.0942928,0.0995345,0.39206,-0.0515417
baseline,0,0.1,3,9,-0.485254,-0.55329,0.74218,-0.0242914,0.112398,0.105194,0.217592,0.254968,0.239843,0.261554,0.0942928,0.100818,0.39206,-0.0553527
baseline,0,0.1,3,10,-0.517686,-0.513649,0.743842,-0.0252185,0.122404,0.0990972,0.221501,0.254968,0.235712,0.261554,0.0942928,0.0977811,0.39206,-0.0607329
baseline,0,0.1,5,1,-0.441514,-0.714825,0.732311,0,0.114409,0.153597,0.268006,0.254968,0.212287,0.261554,0.0942928,0.0949673,0.39206,-0.096731
baseline,0,0.1,5,2,-0.453323,-0.671722,0.759512,-0.0351085,0.113304,0.138786,0.25209,0.254968,0.218789,0.261554,0.0942928,0.0959887,0.39206,-0.0872298
baseline,0,0.1,5,3,-0.471626,-0.61566,0.761743,-0.0317424,0.113772,0.122318,0.23609,0.254968,0.226372,0.261554,0.0942928,0.097167,0.39206,-0.0760036
baseline,0,0.1,5,4,-0.465416,-0.580824,0.766965,-0.0359028,0.110247,0.113255,0.223503,0.254968,0.23227,0.261554,0.0942928,0.0973898,0.39206,-0.0668267
baseline,0,0.1,5,5,-0.442819,-0.57491,0.768763,-0.0330702,0.105063,0.112537,0.217599,0.254968,0.233118,0.261554,0.0942928,0.096001,0.39206,-0.064936
baseline,0,0.1,5,6,-0.456834,-0.53434,0.771448,-0.0358646,0.105197,0.10119,0.206387,0.254968,0.240228,0.261554,0.0942928,0.0979153,0.39206,-0.0546377
baseline,0,0.1,5,7,-0.446132,-0.529111,0.767303,-0.0345621,0.103073,0.10058,0.203654,0.254968,0.241334,0.261554,0.0942928,0.0967993,0.39206,-0.0517927
baseline,0,0.1,5,8,-0.444608,-0.55395,0.763054,-0.037377,0.103276,0.106052,0.209328,0.254968,0.239987,0.261554,0.0942928,0.0977247,0.39206,-0.0538434
baseline,0,0.1,5,9,-0.471081,-0.564508,0.753643,-0.0304409,0.109878,0.108296,0.218174,0.254968,0.238387,0.261554,0.0942928,0.100382,0.39206,-0.0577172
baseline,0,0.1,5,10,-0.493429,-0.526825,0.74808,-0.0280952,0.115729,0.101173,0.216902,0.254968,0.237731,0.261554,0.0942928,0.0977031,0.39206,-0.0573023
baseline,0,0.25,1,1,-0.441514,-0.714825,0.726278,0,0.114409,0.153597,0.268006,0.257023,0.216328,0.256298,0.127885,0.086277,0.369231,-0.0943545
baseline,0,0.25,1,2,-0.515419,-0.394018,0.805177,-0.0961004,0.118493,0.0734456,0.191938,0.257023,0.241191,0.256298,0.127885,0.0753286,0.369231,-0.0491311
baseline,0,0.25,1,3,-0.588637,-0.280158,0.807155,-0.0737441,0.132532,0.0505709,0.183103,0.257023,0.252114,0.256298,0.127885,0.0766053,0.369231,-0.0318186
baseline,0,0.25,1,4,-0.389399,-0.445107,0.812437,-0.0957877,0.0887842,0.0835558,0.17234,0.257023,0.250337,0.256298,0.127885,0.0726625,0.369231,-0.0329262
baseline,0,0.25,1,5,-0.400896,-0.486458,0.790186,-0.071077,0.0968256,0.096835,0.193661,0.257023,0.238969,0.256298,0.127885,0.0724376,0.369231,-0.0507555
