bin,promised,realized,true_cut,t,setting,seed,p,K
4,0.375464,0.26632,0.368753,10,baseline,0,0.5,5
0,0.107368,0.0846894,0.135543,1,baseline,0,1,1
1,0.210785,0.174236,0.213624,1,baseline,0,1,1
2,0.272316,0.243838,0.261635,1,baseline,0,1,1
3,0.319457,0.272924,0.305687,1,baseline,0,1,1
4,0.37562,0.294353,0.363474,1,baseline,0,1,1
0,0.107368,0.121832,0.135543,10,baseline,0,1,1
1,0.210785,0.211501,0.213624,10,baseline,0,1,1
2,0.272316,0.304612,0.261635,10,baseline,0,1,1
3,0.319457,0.340598,0.305687,10,baseline,0,1,1
4,0.37562,0.353975,0.363474,10,baseline,0,1,1
0,0.107368,0.0846894,0.135543,1,baseline,0,1,3
1,0.210785,0.174236,0.213624,1,baseline,0,1,3
2,0.272316,0.243838,0.261635,1,baseline,0,1,3
3,0.319457,0.272924,0.305687,1,baseline,0,1,3
4,0.37562,0.294353,0.363474,1,baseline,0,1,3
0,0.107368,0.133323,0.135543,10,baseline,0,1,3
1,0.210785,0.221535,0.213624,10,baseline,0,1,3
2,0.272316,0.314021,0.261635,10,baseline,0,1,3
3,0.319457,0.350628,0.305687,10,baseline,0,1,3
4,0.37562,0.361547,0.363474,10,baseline,0,1,3
0,0.107368,0.0846894,0.135543,1,baseline,0,1,5
1,0.210785,0.174236,0.213624,1,baseline,0,1,5
2,0.272316,0.243838,0.261635,1,baseline,0,1,5
3,0.319457,0.272924,0.305687,1,baseline,0,1,5
4,0.37562,0.294353,0.363474,1,baseline,0,1,5
0,0.107368,0.137042,0.135543,10,baseline,0,1,5
1,0.210785,0.225753,0.213624,10,baseline,0,1,5
2,0.272316,0.314804,0.261635,10,baseline,0,1,5
3,0.319457,0.349205,0.305687,10,baseline,0,1,5
4,0.37562,0.358472,0.363474,10,baseline,0,1,5
0,0.103727,0.0868258,0.129687,1,baseline,1,0.1,1
1,0.196052,0.175713,0.204218,1,baseline,1,0.1,1
2,0.263611,0.252367,0.237942,1,baseline,1,0.1,1
3,0.314662,0.290214,0.325895,1,baseline,1,0.1,1
4,0.378321,0.326858,0.346015,1,baseline,1,0.1,1
0,0.103727,0.101831,0.129687,10,baseline,1,0.1,1
1,0.196052,0.171305,0.204218,10,baseline,1,0.1,1
2,0.263611,0.225638,0.237942,10,baseline,1,0.1,1
3,0.314662,0.251301,0.325895,10,baseline,1,0.1,1
4,0.378321,0.274086,0.346015,10,baseline,1,0.1,1
0,0.103727,0.0868258,0.129687,1,baseline,1,0.1,3
1,0.196052,0.175713,0.204218,1,baseline,1,0.1,3
2,0.263611,0.252367,0.237942,1,baseline,1,0.1,3
3,0.314662,0.290214,0.325895,1,baseline,1,0.1,3
4,0.378321,0.326858,0.346015,1,baseline,1,0.1,3
0,0.103727,0.0902502,0.129687,10,baseline,1,0.1,3
1,0.196052,0.163773,0.204218,10,baseline,1,0.1,3
2,0.263611,0.22875,0.237942,10,baseline,1,0.1,3
3,0.314662,0.254427,0.325895,10,baseline,1,0.1,3
