bin,promised,realized,true_cut,t,setting,seed,p,K
0,0.119642,0.10606,0.142647,10,baseline,12,0.1,1
1,0.20565,0.189297,0.229688,10,baseline,12,0.1,1
2,0.272397,0.243804,0.26511,10,baseline,12,0.1,1
3,0.332855,0.278731,0.28419,10,baseline,12,0.1,1
4,0.399314,0.285786,0.345054,10,baseline,12,0.1,1
0,0.119642,0.0899701,0.142647,1,baseline,12,0.1,3
1,0.20565,0.176918,0.229688,1,baseline,12,0.1,3
2,0.272397,0.24158,0.26511,1,baseline,12,0.1,3
3,0.332855,0.308882,0.28419,1,baseline,12,0.1,3
4,0.399314,0.32836,0.345054,1,baseline,12,0.1,3
0,0.119642,0.103428,0.142647,10,baseline,12,0.1,3
1,0.20565,0.184895,0.229688,10,baseline,12,0.1,3
2,0.272397,0.236425,0.26511,10,baseline,12,0.1,3
3,0.332855,0.269608,0.28419,10,baseline,12,0.1,3
4,0.399314,0.276378,0.345054,10,baseline,12,0.1,3
0,0.119642,0.0899701,0.142647,1,baseline,12,0.1,5
1,0.20565,0.176918,0.229688,1,baseline,12,0.1,5
2,0.272397,0.24158,0.26511,1,baseline,12,0.1,5
3,0.332855,0.308882,0.28419,1,baseline,12,0.1,5
4,0.399314,0.32836,0.345054,1,baseline,12,0.1,5
0,0.119642,0.105098,0.142647,10,baseline,12,0.1,5
1,0.20565,0.188022,0.229688,10,baseline,12,0.1,5
2,0.272397,0.23863,0.26511,10,baseline,12,0.1,5
3,0.332855,0.272013,0.28419,10,baseline,12,0.1,5
4,0.399314,0.280528,0.345054,10,baseline,12,0.1,5
0,0.123665,0.0913261,0.14822,1,baseline,12,0.25,1
1,0.21168,0.173278,0.219666,1,baseline,12,0.25,1
2,0.278396,0.246171,0.261865,1,baseline,12,0.25,1
3,0.337279,0.308597,0.2884,1,baseline,12,0.25,1
4,0.403681,0.328867,0.345942,1,baseline,12,0.25,1
0,0.123665,0.120435,0.14822,10,baseline,12,0.25,1
1,0.21168,0.188005,0.219666,10,baseline,12,0.25,1
2,0.278396,0.235255,0.261865,10,baseline,12,0.25,1
3,0.337279,0.256595,0.2884,10,baseline,12,0.25,1
4,0.403681,0.258846,0.345942,10,baseline,12,0.25,1
0,0.123665,0.0913261,0.14822,1,baseline,12,0.25,3
1,0.21168,0.173278,0.219666,1,baseline,12,0.25,3
2,0.278396,0.246171,0.261865,1,baseline,12,0.25,3
3,0.337279,0.308597,0.2884,1,baseline,12,0.25,3
4,0.403681,0.328867,0.345942,1,baseline,12,0.25,3
0,0.123665,0.116656,0.14822,10,baseline,12,0.25,3
1,0.21168,0.183144,0.219666,10,baseline,12,0.25,3
2,0.278396,0.228624,0.261865,10,baseline,12,0.25,3
3,0.337279,0.248439,0.2884,10,baseline,12,0.25,3
4,0.403681,0.250716,0.345942,10,baseline,12,0.25,3
0,0.123665,0.0913261,0.14822,1,baseline,12,0.25,5
1,0.21168,0.173278,0.219666,1,baseline,12,0.25,5
2,0.278396,0.246171,0.261865,1,baseline,12,0.25,5
3,0.337279,0.308597,0.2884,1,baseline,12,0.25,5
4,0.403681,0.328867,0.345942,1,baseline,12,0.25,5
0,0.123665,0.114023,0.14822,10,baseline,12,0.25,5
1,0.21168,0.182929,0.219666,10,baseline,12,0.25,5
2,0.278396,0.230585,0.261865,10,baseline,12,0.25,5
3,0.337279,0.253831,0.2884,10,baseline,12,0.25,5
4,0.403681,0.258642,0.345942,10,baseline,12,0.25,5
0,0.123503,0.0930691,0.149921,1,baseline,12,0.5,1
1,0.215537,0.177629,0.227467,1,baseline,12,0.5,1
2,0.280224,0.248065,0.260937,1,baseline,12,0.5,1
3,0.337949,0.308303,0.291686,1,baseline,12,0.5,1
4,0.402752,0.329787,0.343059,1,baseline,12,0.5,1
0,0.123503,0.133086,0.149921,10,baseline,12,0.5,1
1,0.215537,0.193734,0.227467,10,baseline,12,0.5,1
2,0.280224,0.216729,0.260937,10,baseline,12,0.5,1
3,0.337949,0.220482,0.291686,10,baseline,12,0.5,1
4,0.402752,0.219952,0.343059,10,baseline,12,0.5,1
0,0.123503,0.0930691,0.149921,1,baseline,12,0.5,3
1,0.215537,0.177629,0.227467,1,baseline,12,0.5,3
2,0.280224,0.248065,0.260937,1,baseline,12,0.5,3
3,0.337949,0.308303,0.291686,1,baseline,12,0.5,3
4,0.402752,0.329787,0.343059,1,baseline,12,0.5,3
0,0.123503,0.12012,0.149921,10,baseline,12,0.5,3
1,0.215537,0.181338,0.227467,10,baseline,12,0.5,3
2,0.280224,0.207613,0.260937,10,baseline,12,0.5,3
3,0.337949,0.213496,0.291686,10,baseline,12,0.5,3
4,0.402752,0.215816,0.343059,10,baseline,12,0.5,3
0,0.123503,0.0930691,0.149921,1,baseline,12,0.5,5
1,0.215537,0.177629,0.227467,1,baseline,12,0.5,5
2,0.280224,0.248065,0.260937,1,baseline,12,0.5,5
3,0.337949,0.308303,0.291686,1,baseline,12,0.5,5
4,0.402752,0.329787,0.343059,1,baseline,12,0.5,5
0,0.123503,0.11844,0.149921,10,baseline,12,0.5,5
1,0.215537,0.182,0.227467,10,baseline,12,0.5,5
2,0.280224,0.211078,0.260937,10,baseline,12,0.5,5
3,0.337949,0.220428,0.291686,10,baseline,12,0.5,5
4,0.402752,0.225593,0.343059,10,baseline,12,0.5,5
0,0.12518,0.096042,0.154799,1,baseline,12,1,1
1,0.218511,0.179999,0.231679,1,baseline,12,1,1
2,0.283987,0.253415,0.260006,1,baseline,12,1,1
3,0.33893,0.309937,0.29304,1,baseline,12,1,1
4,0.402639,0.331837,0.34333,1,baseline,12,1,1
0,0.12518,0.100966,0.154799,10,baseline,12,1,1
1,0.218511,0.190497,0.231679,10,baseline,12,1,1
2,0.283987,0.293836,0.260006,10,baseline,12,1,1
3,0.33893,0.366108,0.29304,10,baseline,12,1,1
4,0.402639,0.36897,0.34333,10,baseline,12,1,1
0,0.12518,0.096042,0.154799,1,baseline,12,1,3
1,0.218511,0.179999,0.231679,1,baseline,12,1,3
2,0.283987,0.253415,0.260006,1,baseline,12,1,3
3,0.33893,0.309937,0.29304,1,baseline,12,1,3
4,0.402639,0.331837,0.34333,1,baseline,12,1,3
0,0.12518,0.0859592,0.154799,10,baseline,12,1,3
1,0.218511,0.179761,0.231679,10,baseline,12,1,3
2,0.283987,0.279339,0.260006,10,baseline,12,1,3
3,0.33893,0.351483,0.29304,10,baseline,12,1,3
4,0.402639,0.356895,0.34333,10,baseline,12,1,3
0,0.12518,0.096042,0.154799,1,baseline,12,1,5
1,0.218511,0.179999,0.231679,1,baseline,12,1,5
2,0.283987,0.253415,0.260006,1,baseline,12,1,5
3,0.33893,0.309937,0.29304,1,baseline,12,1,5
4,0.402639,0.331837,0.34333,1,baseline,12,1,5
0,0.12518,0.0969399,0.154799,10,baseline,12,1,5
1,0.218511,0.195213,0.231679,10,baseline,12,1,5
2,0.283987,0.275605,0.260006,10,baseline,12,1,5
3,0.33893,0.336153,0.29304,10,baseline,12,1,5
4,0.402639,0.34323,0.34333,10,baseline,12,1,5
0,0.111922,0.104546,0.127302,1,baseline,13,0.1,1
1,0.196132,0.196563,0.219355,1,baseline,13,0.1,1
2,0.24624,0.232716,0.262587,1,baseline,13,0.1,1
3,0.290909,0.265885,0.324554,1,baseline,13,0.1,1
4,0.346902,0.288051,0.400112,1,baseline,13,0.1,1
0,0.111922,0.133712,0.127302,10,baseline,13,0.1,1
1,0.196132,0.228978,0.219355,10,baseline,13,0.1,1
2,0.24624,0.270106,0.262587,10,baseline,13,0.1,1
3,0.290909,0.299895,0.324554,10,baseline,13,0.1,1
4,0.346902,0.31623,0.400112,10,baseline,13,0.1,1
0,0.111922,0.104546,0.127302,1,baseline,13,0.1,3
1,0.196132,0.196563,0.219355,1,baseline,13,0.1,3
2,0.24624,0.232716,0.262587,1,baseline,13,0.1,3
3,0.290909,0.265885,0.324554,1,baseline,13,0.1,3
4,0.346902,0.288051,0.400112,1,baseline,13,0.1,3
0,0.111922,0.129944,0.127302,10,baseline,13,0.1,3
1,0.196132,0.223914,0.219355,10,baseline,13,0.1,3
2,0.24624,0.261972,0.262587,10,baseline,13,0.1,3
3,0.290909,0.290128,0.324554,10,baseline,13,0.1,3
4,0.346902,0.306125,0.400112,10,baseline,13,0.1,3
0,0.111922,0.104546,0.127302,1,baseline,13,0.1,5
1,0.196132,0.196563,0.219355,1,baseline,13,0.1,5
2,0.24624,0.232716,0.262587,1,baseline,13,0.1,5
3,0.290909,0.265885,0.324554,1,baseline,13,0.1,5
4,0.346902,0.288051,0.400112,1,baseline,13,0.1,5
0,0.111922,0.131558,0.127302,10,baseline,13,0.1,5
1,0.196132,0.223453,0.219355,10,baseline,13,0.1,5
2,0.24624,0.260441,0.262587,10,baseline,13,0.1,5
3,0.290909,0.288716,0.324554,10,baseline,13,0.1,5
4,0.346902,0.305675,0.400112,10,baseline,13,0.1,5
0,0.10965,0.0988799,0.125144,1,baseline,13,0.25,1
1,0.193255,0.187239,0.214256,1,baseline,13,0.25,1
2,0.246564,0.234142,0.26569,1,baseline,13,0.25,1
3,0.289279,0.268507,0.321394,1,baseline,13,0.25,1
4,0.341984,0.287501,0.400829,1,baseline,13,0.25,1
0,0.10965,0.135055,0.125144,10,baseline,13,0.25,1
1,0.193255,0.227941,0.214256,10,baseline,13,0.25,1
2,0.246564,0.27132,0.26569,10,baseline,13,0.25,1
3,0.289279,0.298833,0.321394,10,baseline,13,0.25,1
4,0.341984,0.314917,0.400829,10,baseline,13,0.25,1
0,0.10965,0.0988799,0.125144,1,baseline,13,0.25,3
1,0.193255,0.187239,0.214256,1,baseline,13,0.25,3
2,0.246564,0.234142,0.26569,1,baseline,13,0.25,3
3,0.289279,0.268507,0.321394,1,baseline,13,0.25,3
4,0.341984,0.287501,0.400829,1,baseline,13,0.25,3
0,0.10965,0.133806,0.125144,10,baseline,13,0.25,3
1,0.193255,0.224817,0.214256,10,baseline,13,0.25,3
2,0.246564,0.265124,0.26569,10,baseline,13,0.25,3
3,0.289279,0.289767,0.321394,10,baseline,13,0.25,3
4,0.341984,0.305734,0.400829,10,baseline,13,0.25,3
0,0.10965,0.0988799,0.125144,1,baseline,13,0.25,5
1,0.193255,0.187239,0.214256,1,baseline,13,0.25,5
2,0.246564,0.234142,0.26569,1,baseline,13,0.25,5
3,0.289279,0.268507,0.321394,1,baseline,13,0.25,5
4,0.341984,0.287501,0.400829,1,baseline,13,0.25,5
0,0.10965,0.133839,0.125144,10,baseline,13,0.25,5
1,0.193255,0.221865,0.214256,10,baseline,13,0.25,5
2,0.246564,0.260122,0.26569,10,baseline,13,0.25,5
3,0.289279,0.284403,0.321394,10,baseline,13,0.25,5
4,0.341984,0.3008,0.400829,10,baseline,13,0.25,5
0,0.115998,0.105349,0.132458,1,baseline,13,0.5,1
1,0.195889,0.190829,0.213136,1,baseline,13,0.5,1
2,0.248686,0.236791,0.267737,1,baseline,13,0.5,1
3,0.290628,0.267281,0.328012,1,baseline,13,0.5,1
4,0.342522,0.284581,0.391412,1,baseline,13,0.5,1
0,0.115998,0.16458,0.132458,10,baseline,13,0.5,1
1,0.195889,0.237945,0.213136,10,baseline,13,0.5,1
2,0.248686,0.266167,0.267737,10,baseline,13,0.5,1
3,0.290628,0.281315,0.328012,10,baseline,13,0.5,1
4,0.342522,0.290758,0.391412,10,baseline,13,0.5,1
0,0.115998,0.105349,0.132458,1,baseline,13,0.5,3
1,0.195889,0.190829,0.213136,1,baseline,13,0.5,3
2,0.248686,0.236791,0.267737,1,baseline,13,0.5,3
3,0.290628,0.267281,0.328012,1,baseline,13,0.5,3
4,0.342522,0.284581,0.391412,1,baseline,13,0.5,3
0,0.115998,0.164234,0.132458,10,baseline,13,0.5,3
1,0.195889,0.237258,0.213136,10,baseline,13,0.5,3
2,0.248686,0.264941,0.267737,10,baseline,13,0.5,3
3,0.290628,0.279527,0.328012,10,baseline,13,0.5,3
4,0.342522,0.286899,0.391412,10,baseline,13,0.5,3
0,0.115998,0.105349,0.132458,1,baseline,13,0.5,5
1,0.195889,0.190829,0.213136,1,baseline,13,0.5,5
2,0.248686,0.236791,0.267737,1,baseline,13,0.5,5
3,0.290628,0.267281,0.328012,1,baseline,13,0.5,5
4,0.342522,0.284581,0.391412,1,baseline,13,0.5,5
0,0.115998,0.162736,0.132458,10,baseline,13,0.5,5
1,0.195889,0.234183,0.213136,10,baseline,13,0.5,5
2,0.248686,0.260524,0.267737,10,baseline,13,0.5,5
3,0.290628,0.274653,0.328012,10,baseline,13,0.5,5
4,0.342522,0.281815,0.391412,10,baseline,13,0.5,5
0,0.118815,0.110905,0.137457,1,baseline,13,1,1
1,0.197804,0.191723,0.21571,1,baseline,13,1,1
2,0.249302,0.236218,0.271878,1,baseline,13,1,1
3,0.291135,0.267351,0.323906,1,baseline,13,1,1
4,0.344865,0.286641,0.386167,1,baseline,13,1,1
0,0.118815,0.167149,0.137457,10,baseline,13,1,1
1,0.197804,0.258657,0.21571,10,baseline,13,1,1
2,0.249302,0.325212,0.271878,10,baseline,13,1,1
3,0.291135,0.367704,0.323906,10,baseline,13,1,1
4,0.344865,0.391454,0.386167,10,baseline,13,1,1
0,0.118815,0.110905,0.137457,1,baseline,13,1,3
1,0.197804,0.191723,0.21571,1,baseline,13,1,3
2,0.249302,0.236218,0.271878,1,baseline,13,1,3
3,0.291135,0.267351,0.323906,1,baseline,13,1,3
4,0.344865,0.286641,0.386167,1,baseline,13,1,3
0,0.118815,0.154782,0.137457,10,baseline,13,1,3
1,0.197804,0.247609,0.21571,10,baseline,13,1,3
2,0.249302,0.312914,0.271878,10,baseline,13,1,3
3,0.291135,0.352927,0.323906,10,baseline,13,1,3
4,0.344865,0.374753,0.386167,10,baseline,13,1,3
0,0.118815,0.110905,0.137457,1,baseline,13,1,5
1,0.197804,0.191723,0.21571,1,baseline,13,1,5
2,0.249302,0.236218,0.271878,1,baseline,13,1,5
3,0.291135,0.267351,0.323906,1,baseline,13,1,5
4,0.344865,0.286641,0.386167,1,baseline,13,1,5
0,0.118815,0.1551,0.137457,10,baseline,13,1,5
1,0.197804,0.248001,0.21571,10,baseline,13,1,5
2,0.249302,0.311071,0.271878,10,baseline,13,1,5
3,0.291135,0.349628,0.323906,10,baseline,13,1,5
4,0.344865,0.370091,0.386167,10,baseline,13,1,5
0,0.0965507,0.0808169,0.1473,1,baseline,14,0.1,1
1,0.185738,0.153802,0.199705,1,baseline,14,0.1,1
2,0.256915,0.222476,0.233953,1,baseline,14,0.1,1
3,0.307472,0.275121,0.318101,1,baseline,14,0.1,1
4,0.365163,0.305976,0.367389,1,baseline,14,0.1,1
0,0.0965507,0.144978,0.1473,10,baseline,14,0.1,1
1,0.185738,0.198454,0.199705,10,baseline,14,0.1,1
2,0.256915,0.225161,0.233953,10,baseline,14,0.1,1
3,0.307472,0.267834,0.318101,10,baseline,14,0.1,1
4,0.365163,0.285965,0.367389,10,baseline,14,0.1,1
0,0.0965507,0.0808169,0.1473,1,baseline,14,0.1,3
1,0.185738,0.153802,0.199705,1,baseline,14,0.1,3
2,0.256915,0.222476,0.233953,1,baseline,14,0.1,3
3,0.307472,0.275121,0.318101,1,baseline,14,0.1,3
4,0.365163,0.305976,0.367389,1,baseline,14,0.1,3
0,0.0965507,0.140795,0.1473,10,baseline,14,0.1,3
1,0.185738,0.197441,0.199705,10,baseline,14,0.1,3
2,0.256915,0.232025,0.233953,10,baseline,14,0.1,3
3,0.307472,0.276326,0.318101,10,baseline,14,0.1,3
4,0.365163,0.295259,0.367389,10,baseline,14,0.1,3
0,0.0965507,0.0808169,0.1473,1,baseline,14,0.1,5
1,0.185738,0.153802,0.199705,1,baseline,14,0.1,5
2,0.256915,0.222476,0.233953,1,baseline,14,0.1,5
3,0.307472,0.275121,0.318101,1,baseline,14,0.1,5
4,0.365163,0.305976,0.367389,1,baseline,14,0.1,5
0,0.0965507,0.137796,0.1473,10,baseline,14,0.1,5
1,0.185738,0.194409,0.199705,10,baseline,14,0.1,5
2,0.256915,0.231388,0.233953,10,baseline,14,0.1,5
3,0.307472,0.278319,0.318101,10,baseline,14,0.1,5
4,0.365163,0.298914,0.367389,10,baseline,14,0.1,5
0,0.0992309,0.0815806,0.14402,1,baseline,14,0.25,1
1,0.188378,0.151825,0.195947,1,baseline,14,0.25,1
2,0.250281,0.221465,0.241198,1,baseline,14,0.25,1
3,0.305946,0.27464,0.306088,1,baseline,14,0.25,1
4,0.370179,0.300562,0.357973,1,baseline,14,0.25,1
0,0.0992309,0.15356,0.14402,10,baseline,14,0.25,1
1,0.188378,0.194081,0.195947,10,baseline,14,0.25,1
2,0.250281,0.21946,0.241198,10,baseline,14,0.25,1
3,0.305946,0.246173,0.306088,10,baseline,14,0.25,1
4,0.370179,0.259271,0.357973,10,baseline,14,0.25,1
0,0.0992309,0.0815806,0.14402,1,baseline,14,0.25,3
1,0.188378,0.151825,0.195947,1,baseline,14,0.25,3
2,0.250281,0.221465,0.241198,1,baseline,14,0.25,3
3,0.305946,0.27464,0.306088,1,baseline,14,0.25,3
4,0.370179,0.300562,0.357973,1,baseline,14,0.25,3
0,0.0992309,0.153506,0.14402,10,baseline,14,0.25,3
1,0.188378,0.19685,0.195947,10,baseline,14,0.25,3
2,0.250281,0.22652,0.241198,10,baseline,14,0.25,3
3,0.305946,0.254591,0.306088,10,baseline,14,0.25,3
4,0.370179,0.269226,0.357973,10,baseline,14,0.25,3
0,0.0992309,0.0815806,0.14402,1,baseline,14,0.25,5
1,0.188378,0.151825,0.195947,1,baseline,14,0.25,5
2,0.250281,0.221465,0.241198,1,baseline,14,0.25,5
3,0.305946,0.27464,0.306088,1,baseline,14,0.25,5
4,0.370179,0.300562,0.357973,1,baseline,14,0.25,5
0,0.0992309,0.149958,0.14402,10,baseline,14,0.25,5
1,0.188378,0.19429,0.195947,10,baseline,14,0.25,5
2,0.250281,0.225152,0.241198,10,baseline,14,0.25,5
3,0.305946,0.25663,0.306088,10,baseline,14,0.25,5
4,0.370179,0.271943,0.357973,10,baseline,14,0.25,5
0,0.0967349,0.0795112,0.140553,1,baseline,14,0.5,1
1,0.188558,0.156959,0.20341,1,baseline,14,0.5,1
2,0.255098,0.228924,0.252286,1,baseline,14,0.5,1
3,0.308607,0.273842,0.302298,1,baseline,14,0.5,1
4,0.372347,0.301738,0.348545,1,baseline,14,0.5,1
0,0.0967349,0.170272,0.140553,10,baseline,14,0.5,1
1,0.188558,0.212599,0.20341,10,baseline,14,0.5,1
2,0.255098,0.226426,0.252286,10,baseline,14,0.5,1
3,0.308607,0.233904,0.302298,10,baseline,14,0.5,1
4,0.372347,0.248008,0.348545,10,baseline,14,0.5,1
0,0.0967349,0.0795112,0.140553,1,baseline,14,0.5,3
1,0.188558,0.156959,0.20341,1,baseline,14,0.5,3
2,0.255098,0.228924,0.252286,1,baseline,14,0.5,3
3,0.308607,0.273842,0.302298,1,baseline,14,0.5,3
4,0.372347,0.301738,0.348545,1,baseline,14,0.5,3
0,0.0967349,0.167878,0.140553,10,baseline,14,0.5,3
1,0.188558,0.213228,0.20341,10,baseline,14,0.5,3
2,0.255098,0.230739,0.252286,10,baseline,14,0.5,3
3,0.308607,0.240987,0.302298,10,baseline,14,0.5,3
4,0.372347,0.254915,0.348545,10,baseline,14,0.5,3
0,0.0967349,0.0795112,0.140553,1,baseline,14,0.5,5
1,0.188558,0.156959,0.20341,1,baseline,14,0.5,5
2,0.255098,0.228924,0.252286,1,baseline,14,0.5,5
3,0.308607,0.273842,0.302298,1,baseline,14,0.5,5
4,0.372347,0.301738,0.348545,1,baseline,14,0.5,5
0,0.0967349,0.160758,0.140553,10,baseline,14,0.5,5
1,0.188558,0.206667,0.20341,10,baseline,14,0.5,5
2,0.255098,0.226306,0.252286,10,baseline,14,0.5,5
3,0.308607,0.240684,0.302298,10,baseline,14,0.5,5
4,0.372347,0.255563,0.348545,10,baseline,14,0.5,5
0,0.094792,0.0759585,0.138053,1,baseline,14,1,1
1,0.185968,0.154601,0.202278,1,baseline,14,1,1
2,0.252003,0.22678,0.250298,1,baseline,14,1,1
3,0.306317,0.272557,0.302913,1,baseline,14,1,1
4,0.370205,0.301875,0.347285,1,baseline,14,1,1
0,0.094792,0.172552,0.138053,10,baseline,14,1,1
1,0.185968,0.239552,0.202278,10,baseline,14,1,1
2,0.252003,0.283708,0.250298,10,baseline,14,1,1
3,0.306317,0.304689,0.302913,10,baseline,14,1,1
4,0.370205,0.315884,0.347285,10,baseline,14,1,1
0,0.094792,0.0759585,0.138053,1,baseline,14,1,3
1,0.185968,0.154601,0.202278,1,baseline,14,1,3
2,0.252003,0.22678,0.250298,1,baseline,14,1,3
3,0.306317,0.272557,0.302913,1,baseline,14,1,3
4,0.370205,0.301875,0.347285,1,baseline,14,1,3
0,0.094792,0.15459,0.138053,10,baseline,14,1,3
1,0.185968,0.224231,0.202278,10,baseline,14,1,3
2,0.252003,0.288536,0.250298,10,baseline,14,1,3
3,0.306317,0.32526,0.302913,10,baseline,14,1,3
4,0.370205,0.340359,0.347285,10,baseline,14,1,3
0,0.094792,0.0759585,0.138053,1,baseline,14,1,5
1,0.185968,0.154601,0.202278,1,baseline,14,1,5
2,0.252003,0.22678,0.250298,1,baseline,14,1,5
3,0.306317,0.272557,0.302913,1,baseline,14,1,5
4,0.370205,0.301875,0.347285,1,baseline,14,1,5
0,0.094792,0.148251,0.138053,10,baseline,14,1,5
1,0.185968,0.217986,0.202278,10,baseline,14,1,5
2,0.252003,0.285336,0.250298,10,baseline,14,1,5
3,0.306317,0.326514,0.302913,10,baseline,14,1,5
4,0.370205,0.343315,0.347285,10,baseline,14,1,5
0,0.155621,0.143407,0.150534,1,baseline,15,0.1,1
1,0.246088,0.224741,0.221687,1,baseline,15,0.1,1
2,0.302539,0.281254,0.254072,1,baseline,15,0.1,1
3,0.355922,0.323491,0.307422,1,baseline,15,0.1,1
4,0.411121,0.343944,0.366828,1,baseline,15,0.1,1
0,0.155621,0.137316,0.150534,10,baseline,15,0.1,1
1,0.246088,0.203966,0.221687,10,baseline,15,0.1,1
2,0.302539,0.247022,0.254072,10,baseline,15,0.1,1
3,0.355922,0.272906,0.307422,10,baseline,15,0.1,1
4,0.411121,0.285448,0.366828,10,baseline,15,0.1,1
0,0.155621,0.143407,0.150534,1,baseline,15,0.1,3
1,0.246088,0.224741,0.221687,1,baseline,15,0.1,3
2,0.302539,0.281254,0.254072,1,baseline,15,0.1,3
3,0.355922,0.323491,0.307422,1,baseline,15,0.1,3
4,0.411121,0.343944,0.366828,1,baseline,15,0.1,3
0,0.155621,0.147264,0.150534,10,baseline,15,0.1,3
1,0.246088,0.217623,0.221687,10,baseline,15,0.1,3
2,0.302539,0.261286,0.254072,10,baseline,15,0.1,3
3,0.355922,0.285865,0.307422,10,baseline,15,0.1,3
4,0.411121,0.298813,0.366828,10,baseline,15,0.1,3
0,0.155621,0.143407,0.150534,1,baseline,15,0.1,5
1,0.246088,0.224741,0.221687,1,baseline,15,0.1,5
2,0.302539,0.281254,0.254072,1,baseline,15,0.1,5
3,0.355922,0.323491,0.307422,1,baseline,15,0.1,5
4,0.411121,0.343944,0.366828,1,baseline,15,0.1,5
0,0.155621,0.143615,0.150534,10,baseline,15,0.1,5
1,0.246088,0.213035,0.221687,10,baseline,15,0.1,5
2,0.302539,0.25731,0.254072,10,baseline,15,0.1,5
3,0.355922,0.28551,0.307422,10,baseline,15,0.1,5
4,0.411121,0.300804,0.366828,10,baseline,15,0.1,5
0,0.149274,0.138155,0.144878,1,baseline,15,0.25,1
1,0.244025,0.229721,0.223117,1,baseline,15,0.25,1
2,0.302599,0.285909,0.261866,1,baseline,15,0.25,1
3,0.356051,0.330594,0.322877,1,baseline,15,0.25,1
4,0.413156,0.350475,0.358719,1,baseline,15,0.25,1
0,0.149274,0.128827,0.144878,10,baseline,15,0.25,1
1,0.244025,0.200933,0.223117,10,baseline,15,0.25,1
2,0.302599,0.236423,0.261866,10,baseline,15,0.25,1
3,0.356051,0.261271,0.322877,10,baseline,15,0.25,1
4,0.413156,0.270267,0.358719,10,baseline,15,0.25,1
0,0.149274,0.138155,0.144878,1,baseline,15,0.25,3
1,0.244025,0.229721,0.223117,1,baseline,15,0.25,3
2,0.302599,0.285909,0.261866,1,baseline,15,0.25,3
3,0.356051,0.330594,0.322877,1,baseline,15,0.25,3
4,0.413156,0.350475,0.358719,1,baseline,15,0.25,3
0,0.149274,0.137732,0.144878,10,baseline,15,0.25,3
1,0.244025,0.211834,0.223117,10,baseline,15,0.25,3
2,0.302599,0.248688,0.261866,10,baseline,15,0.25,3
3,0.356051,0.273486,0.322877,10,baseline,15,0.25,3
4,0.413156,0.284318,0.358719,10,baseline,15,0.25,3
0,0.149274,0.138155,0.144878,1,baseline,15,0.25,5
1,0.244025,0.229721,0.223117,1,baseline,15,0.25,5
2,0.302599,0.285909,0.261866,1,baseline,15,0.25,5
3,0.356051,0.330594,0.322877,1,baseline,15,0.25,5
4,0.413156,0.350475,0.358719,1,baseline,15,0.25,5
0,0.149274,0.133887,0.144878,10,baseline,15,0.25,5
1,0.244025,0.206735,0.223117,10,baseline,15,0.25,5
2,0.302599,0.244287,0.261866,10,baseline,15,0.25,5
3,0.356051,0.271805,0.322877,10,baseline,15,0.25,5
4,0.413156,0.28398,0.358719,10,baseline,15,0.25,5
0,0.146111,0.135649,0.142839,1,baseline,15,0.5,1
1,0.241813,0.225558,0.219236,1,baseline,15,0.5,1
2,0.301087,0.285607,0.263022,1,baseline,15,0.5,1
3,0.353989,0.331628,0.319879,1,baseline,15,0.5,1
4,0.413819,0.352162,0.357174,1,baseline,15,0.5,1
0,0.146111,0.12715,0.142839,10,baseline,15,0.5,1
1,0.241813,0.194347,0.219236,10,baseline,15,0.5,1
2,0.301087,0.226641,0.263022,10,baseline,15,0.5,1
3,0.353989,0.246949,0.319879,10,baseline,15,0.5,1
4,0.413819,0.248629,0.357174,10,baseline,15,0.5,1
0,0.146111,0.135649,0.142839,1,baseline,15,0.5,3
1,0.241813,0.225558,0.219236,1,baseline,15,0.5,3
2,0.301087,0.285607,0.263022,1,baseline,15,0.5,3
3,0.353989,0.331628,0.319879,1,baseline,15,0.5,3
4,0.413819,0.352162,0.357174,1,baseline,15,0.5,3
0,0.146111,0.139107,0.142839,10,baseline,15,0.5,3
1,0.241813,0.207913,0.219236,10,baseline,15,0.5,3
2,0.301087,0.24013,0.263022,10,baseline,15,0.5,3
3,0.353989,0.26106,0.319879,10,baseline,15,0.5,3
4,0.413819,0.265609,0.357174,10,baseline,15,0.5,3
0,0.146111,0.135649,0.142839,1,baseline,15,0.5,5
1,0.241813,0.225558,0.219236,1,baseline,15,0.5,5
2,0.301087,0.285607,0.263022,1,baseline,15,0.5,5
3,0.353989,0.331628,0.319879,1,baseline,15,0.5,5
4,0.413819,0.352162,0.357174,1,baseline,15,0.5,5
0,0.146111,0.136284,0.142839,10,baseline,15,0.5,5
1,0.241813,0.204685,0.219236,10,baseline,15,0.5,5
2,0.301087,0.238437,0.263022,10,baseline,15,0.5,5
3,0.353989,0.262328,0.319879,10,baseline,15,0.5,5
4,0.413819,0.269296,0.357174,10,baseline,15,0.5,5
0,0.146299,0.13429,0.137547,1,baseline,15,1,1
1,0.242177,0.227457,0.221159,1,baseline,15,1,1
2,0.300621,0.287029,0.260827,1,baseline,15,1,1
3,0.352976,0.328862,0.316692,1,baseline,15,1,1
4,0.413507,0.352683,0.360252,1,baseline,15,1,1
0,0.146299,0.126499,0.137547,10,baseline,15,1,1
1,0.242177,0.225591,0.221159,10,baseline,15,1,1
2,0.300621,0.285657,0.260827,10,baseline,15,1,1
3,0.352976,0.336285,0.316692,10,baseline,15,1,1
4,0.413507,0.362959,0.360252,10,baseline,15,1,1
