seed,p,K,t,loss_ratio,off_balance,nonadopter_rate_change,coef_capacity,coef_nightlife_density,coef_prior_violations,coef_late_night_hours,coef_staff_training_score,coef_security_staff,coef_incident_response_time,coef_camera_coverage,coef_license_compliance,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,noise,variant,promised,realized,true_cut,dlog_capacity,dlog_nightlife_density,dlog_prior_violations,dlog_late_night_hours,dlog_staff_training_score,dlog_security_staff,dlog_incident_response_time,dlog_camera_coverage,dlog_license_compliance,dlog_cap_effect,share_at_credit_cap_after,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only,coef_inspection_score,dlog_inspection_score
0,0.0,3,1,0.740485873057115,0.19214553357195524,0.0,0.6689211410675007,0.13178882268629916,0.017064504179125646,0.06500866145841051,-0.9633839215622276,-0.4746140330510248,0.029874748919329577,-0.4415143415394557,-0.7148251997642625,0.11440927688321752,0.15359708417378792,0.2680063610570054,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,2,0.7445427670954623,0.18663565875349686,-0.005688908834036166,0.6632772336675988,0.1288442556291875,0.014501080902539374,0.08140643695888009,-0.9902557227993046,-0.4503222898099233,0.02858322893549218,-0.4717355445199065,-0.6705425277240944,0.11809711956055774,0.13860508370855068,0.2567022032691084,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,3,0.7491356918061667,0.18811635507089844,0.0006781901719630223,0.6010004607374493,0.10223352343601823,0.011860713879926316,0.10453174682079211,-1.0722292756682177,-0.41346507167271873,0.02869626337622495,-0.49799274446500325,-0.6084923204433432,0.11724554297827017,0.11763889164023257,0.23488443461850275,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,4,0.7622808227504966,0.18712593607426772,-0.015527732508484049,0.57616212284713,0.091429192367999,0.011321896398687512,0.13856501389840842,-1.1570055060744222,-0.35010902343902023,0.029139251740306644,-0.5152441001202158,-0.5358219225538171,0.11318743815773959,0.09624339079891028,0.20943082895664988,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,5,0.7694658978740332,0.18399734162416417,-0.02205605769733321,0.5592882250163473,0.09021105340952787,0.01205313094657127,0.14062832662582136,-1.1589707428691074,-0.3283264469812032,0.029031627994363974,-0.5085132762887281,-0.5364013958745859,0.1124105038052101,0.0970049976504881,0.20941550145569823,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,6,0.7712441181232182,0.18887778327485388,-0.03233657975952042,0.5893808205521321,0.1134576636748881,0.0119969480535725,0.13170728738504942,-1.1398654760997298,-0.33861712622280193,0.029960120344247776,-0.49348297340302827,-0.5936195507838535,0.10989006018214363,0.10862472724102952,0.21851478742317318,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,7,0.7566006835688783,0.19738600316516378,-0.022662943908203004,0.6429794782924564,0.11796545552697221,0.009194360172514604,0.12967942301908345,-1.131404033954236,-0.3732410425805182,0.03078908602787763,-0.49014628991481146,-0.6345096557912051,0.10693988884356322,0.11394654613108178,0.220886434974645,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,8,0.7460683841848789,0.20928086576689472,-0.0162617508295424,0.6769627230858526,0.12094491086164844,0.0065792668546165445,0.13856203167124445,-1.141631160887233,-0.3942372509715884,0.031514950575472385,-0.5125836549900351,-0.6666044457400735,0.10655735403910783,0.1139494457505616,0.22050679978966942,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,9,0.737725102272998,0.2150675754022307,-0.011460659492782743,0.6955579896221912,0.1297935373757869,0.012083701229460278,0.13706682429732256,-1.1569290400874543,-0.3887881647293282,0.031667502850388406,-0.5151303442165376,-0.6793208072905765,0.10676659718810198,0.11580899196906079,0.22257558915716277,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,10,0.7411978264835044,0.21037727180190996,-0.014449751219779983,0.6859884423598072,0.13056202065730205,0.01653624821768764,0.1291522251253464,-1.1293265704218776,-0.387156089481284,0.03232177676012952,-0.5221254871402528,-0.6348362203911361,0.11194827936710841,0.1116524795296888,0.22360075889679723,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,11,0.7403217168462731,0.2006009418184277,-0.009278848278607699,0.6748152319724893,0.11674741591213231,0.02180692321014205,0.12477110317484597,-1.1171740465115532,-0.4149529784112435,0.03348406430634832,-0.4858943114572934,-0.5098725456936476,0.10804015346264235,0.09267392325748854,0.2007140767201309,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,12,0.7385361012388554,0.19354541970918565,-0.0034630394322846536,0.6610900630712973,0.10524203271891522,0.02194156302302038,0.13346672676006704,-1.0760968699129705,-0.44917307229334663,0.033217523759292204,-0.5093936533282115,-0.4124029248210497,0.11289676366615722,0.07416814650297057,0.1870649101691278,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,13,0.7372379968963976,0.19287717741630572,0.00237944032471038,0.6407980426692157,0.1073738731048157,0.022581481196500556,0.12624044061311346,-1.0804550264689288,-0.4590197067451045,0.03144469374229967,-0.5685138427590629,-0.3698193916798546,0.12803192372336153,0.067066871771448,0.19509879549480955,none,t1,,,,,,,,,,,,,,,,,,,,
0,0.0,3,14,0.7322497578240004,0.1959951283832007,0.006013275690986308,0.6529538928218469,0.12054859093896002,0.019723264200724313,0.12260721786880592,-1.10769183984384,-0.42730153322521874,0.029151782939266617,-0.6675053941113259,-0.3796859230616031,0.15035964420663112,0.06818056556723497,0.21854020977386607,none,t1,,,,,,,,,,,,,,,,,,,,
