seed,p,K,t,loss_ratio,off_balance,nonadopter_rate_change,coef_capacity,coef_nightlife_density,coef_prior_violations,coef_late_night_hours,coef_staff_training_score,coef_security_staff,coef_incident_response_time,coef_camera_coverage,coef_license_compliance,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,promised,realized,true_cut,dlog_capacity,dlog_nightlife_density,dlog_prior_violations,dlog_late_night_hours,dlog_staff_training_score,dlog_security_staff,dlog_incident_response_time,dlog_camera_coverage,dlog_license_compliance,dlog_cap_effect,share_at_credit_cap_after,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only,jitter
0,0.5,3,1,0.7046094565802508,0.19214553357195524,0.0,0.6689211410675007,0.13178882268629916,0.017064504179125646,0.06500866145841051,-0.9633839215622276,-0.4746140330510248,0.029874748919329577,-0.4415143415394557,-0.7148251997642625,0.11440927688321752,0.15359708417378792,0.2680063610570054,0.2576746626050125,0.21444845344380434,0.2574527713794781,0.0,0.0,0.0,-0.035581851549832795,-0.08646619645338144,-0.058224915306646925,-0.03385933459646256,-0.029804518562189734,-0.04942884436719129,0.04510509679183716,0.35968765251342116,0.12054660810151294,0.08531716447883106,0.3626159102000976,-0.09862532516822227,0.0
0,0.5,3,2,0.8711323895584872,-0.030819099684686282,-0.18995888236450686,0.6649452983879773,0.12524938922328704,0.018484774881805322,0.0922652161038806,-0.9155679288406251,-0.45437934494757365,0.028806724357902585,-0.4881863532786747,-0.6425023577887151,0.12148243624632069,0.13163210051146063,0.2531145367577813,0.2576746626050125,0.22335633550593229,0.2574527713794781,0.0,0.0,0.0,-0.050500458692289946,-0.08217458754467653,-0.05574255507488952,-0.032648860791971476,-0.032955122538871624,-0.04442785321385587,0.039831504033196755,0.317227916056613,0.12054660810151294,0.0876702494547416,0.3626159102000976,-0.08483747630525872,0.0
0,0.5,3,3,0.850519093904833,-0.028701338794292226,-0.1575528006980198,0.6042013486547255,0.09733503268844895,0.019739028034644484,0.12401006553274165,-0.8750289086571558,-0.4189795942268974,0.02963876713420623,-0.5344593604241987,-0.5440336314368679,0.12789258296899592,0.1061240788079719,0.23401666177696778,0.2576746626050125,0.23292101681639832,0.2574527713794781,0.0,0.0,0.0,-0.0678756898462517,-0.07853610572579033,-0.051399768422885496,-0.03359187841657172,-0.03607879162646764,-0.037618922371062236,0.034883600977470355,0.2913616398243045,0.12054660810151294,0.08785178964270045,0.3626159102000976,-0.06841802962709473,0.0
0,0.5,3,4,0.831562087381199,-0.026616622146798403,-0.135617516402189,0.5822365954442136,0.08813509518836196,0.022829173131640353,0.1595399204102996,-0.8571022397345902,-0.3496215978390923,0.03228233615295255,-0.5463672878190018,-0.40489027286148843,0.12798076378454343,0.07693230036644114,0.20491306415098456,0.2576746626050125,0.24119856792406102,0.2574527713794781,0.0,0.0,0.0,-0.08732260651056663,-0.0769271408654471,-0.04289103672871639,-0.03658803708475919,-0.0368826387718132,-0.027997415717381208,0.028027981618132945,0.24011713030746706,0.12054660810151294,0.0812306132668443,0.3626159102000976,-0.04997221598859493,0.0
0,0.5,3,5,0.8102360582467183,-0.027303277938547907,-0.1133249052971721,0.5696187194024843,0.0921740621663717,0.02404454351976342,0.15462405879677452,-0.8361067498362349,-0.29498349890567205,0.03342646036333575,-0.5510578489200122,-0.40543815568606334,0.13387494308522047,0.07988370634626096,0.21375864943148143,0.2576746626050125,0.23595302804807047,0.2574527713794781,0.0,0.0,0.0,-0.08463195799930825,-0.07504274139234575,-0.03618811928132483,-0.03788476043342684,-0.03719927608627665,-0.028035300804359533,0.02553600751518055,0.21571498291849683,0.12054660810151294,0.08116987121778364,0.3626159102000976,-0.057262419740893994,0.0
0,0.5,3,6,0.7994805584611486,-0.02962120661788395,-0.11209191234786231,0.6034351235090296,0.1164055804665816,0.025610958759690917,0.1465446807254939,-0.8037359981181786,-0.2957824470648196,0.03290907860603059,-0.5205005110990711,-0.4500067090719086,0.12987811328736562,0.09148345853775955,0.22136157182512514,0.2576746626050125,0.2317672616684172,0.2574527713794781,0.0,0.0,0.0,-0.08020978986512514,-0.07213738277596127,-0.036286133005448674,-0.03729837217349517,-0.03513649656450668,-0.03111713408290974,0.024418381266304693,0.20400195217179112,0.12054660810151294,0.08006975255387509,0.3626159102000976,-0.06337798486920324,0.0
0,0.5,3,7,0.775705761876206,-0.029631435446845614,-0.0938624247164569,0.6592518375575561,0.12096537825496594,0.024301533021624744,0.14626305883442073,-0.7753029910735807,-0.3346987417900975,0.032439847014748044,-0.5287857288316778,-0.4657837740481909,0.13018723410929334,0.0934605505244896,0.2236477846337829,0.2576746626050125,0.23306890472108488,0.2574527713794781,0.0,0.0,0.0,-0.08005564689253435,-0.06958544691959791,-0.04106032383554622,-0.036766556174125,-0.03569579193154334,-0.03220808903181319,0.025851312747889856,0.21961932650073207,0.12054660810151294,0.08086519648908853,0.3626159102000976,-0.06209799376963296,0.0
0,0.5,3,8,0.7618006427341236,-0.029414057196301104,-0.08261543602415211,0.6907928866679929,0.11780483907395728,0.02374574918593333,0.15762722188304618,-0.7032951379831592,-0.3642259781276188,0.03228877751963271,-0.5466569859647725,-0.42395919431849777,0.13320885491918993,0.0839424344698666,0.21715128938905653,0.2576746626050125,0.23549048793999527,0.2574527713794781,0.0,0.0,0.0,-0.08627570978127684,-0.0631225560282842,-0.04468267950830125,-0.03659533757756906,-0.03690219490612347,-0.02931599647147262,0.024323408385208103,0.2000976085895559,0.12054660810151294,0.07674893922249185,0.3626159102000976,-0.05558514300897323,0.0
0,0.5,3,9,0.7446586309629241,-0.02833849049074176,-0.06757012570863108,0.7069893035234672,0.1245891163604197,0.02860797354815298,0.14906518714672815,-0.7040319272984797,-0.3656411464855069,0.03360393161165307,-0.5493635035811248,-0.3813258254819418,0.13694487801101932,0.07714433624332044,0.21408921425433977,0.2576746626050125,0.23120288015345927,0.2574527713794781,0.0,0.0,0.0,-0.08158936426796272,-0.06318868477328125,-0.04485629017306183,-0.03808590215328713,-0.0370848989475238,-0.02636797763586618,0.0242407932885422,0.19716935090287946,0.12054660810151294,0.07067405033008549,0.3626159102000976,-0.05905778843315542,0.0
0,0.5,3,10,0.7444279954960976,-0.027597413979975855,-0.06801721304144026,0.6962139723689093,0.12696737807706923,0.030999251234149726,0.13699756297464266,-0.7182384039703484,-0.34688145615544136,0.0355723806678488,-0.5696465708439443,-0.30308532122604454,0.14761751496950068,0.06352929881061657,0.21114681378011724,0.2576746626050125,0.22432512121198178,0.2574527713794781,0.0,0.0,0.0,-0.07498426885117705,-0.06446375276572629,-0.04255488038619705,-0.04031689580648225,-0.03845411167258502,-0.020957791048500908,0.023724926080860388,0.191800878477306,0.12054660810151294,0.06268779843168261,0.3626159102000976,-0.06529340114282756,0.0
