seed,p,K,t,loss_ratio,off_balance,nonadopter_rate_change,coef_capacity,coef_nightlife_density,coef_prior_violations,coef_late_night_hours,coef_staff_training_score,coef_security_staff,coef_incident_response_time,coef_camera_coverage,coef_license_compliance,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,promised,realized,true_cut,dlog_capacity,dlog_nightlife_density,dlog_prior_violations,dlog_late_night_hours,dlog_staff_training_score,dlog_security_staff,dlog_incident_response_time,dlog_camera_coverage,dlog_license_compliance,dlog_cap_effect,share_at_credit_cap_after,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only,rebalance
0,0.1,3,1,0.7323109112392409,0.19214553357195524,0.0,0.6689211410675007,0.13178882268629916,0.017064504179125646,0.06500866145841051,-0.9633839215622276,-0.4746140330510248,0.029874748919329577,-0.4415143415394557,-0.7148251997642625,0.11440927688321752,0.15359708417378792,0.2680063610570054,0.25496843791220364,0.2122873536201995,0.26155352605005266,0.0,0.0,0.0,-0.03774696471778675,-0.08862956619163398,-0.05586366466130772,-0.035850286282701836,-0.028117457120768557,-0.045132975470030624,0.04591777886599879,0.36228287841191065,0.09429280397022333,0.09496734510487469,0.3920595533498759,-0.09673097162303543,on
0,0.1,3,2,0.7601268821826788,0.1513942049664536,-0.036125108475367984,0.6628194490417912,0.1282444895994427,0.014599029634762747,0.0822943976952355,-0.9905086368887712,-0.4546002511564699,0.028734920950810466,-0.46147607283264414,-0.6627417627320868,0.11543979720046338,0.1369419220254367,0.2523817192259,0.25496843791220364,0.21974620902850098,0.26155352605005266,0.0,0.0,0.0,-0.04778384382303996,-0.09112499059996819,-0.05350797535904519,-0.03448247030223006,-0.029388702629432,-0.04184450650343112,0.0436733071489208,0.34987593052109184,0.09429280397022333,0.09662830993151912,0.3920595533498759,-0.0860073655921903,on
0,0.1,3,3,0.7624802430737425,0.1477415526766569,-0.02523869448847993,0.5968705689137833,0.10247034512410687,0.012770699729475124,0.10333670887599646,-1.0428832722114045,-0.41816850929737825,0.029145242215424978,-0.4682247495687656,-0.5875162188599568,0.11252455078107312,0.11618799948604636,0.22871255026711948,0.25496843791220364,0.2286123431481911,0.26155352605005266,0.0,0.0,0.0,-0.06000195999251407,-0.09594336166076256,-0.04921983706452321,-0.034974863890006556,-0.02981848624209607,-0.03709488012285553,0.04154840257838733,0.3225806451612903,0.09429280397022333,0.09584230286175231,0.3920595533498759,-0.07208203565417706,on
0,0.1,3,4,0.7723029822127313,0.1423014698367329,-0.034408554222641,0.5665902840290759,0.09212631014441154,0.012920469807164412,0.13725245112840612,-1.1066107034150816,-0.35096992658217385,0.029739585344892745,-0.45818388707615176,-0.5092636488232852,0.10446878874014426,0.09534480417189084,0.1998135929120351,0.25496843791220364,0.24174005750164346,0.26155352605005266,0.0,0.0,0.0,-0.07969497162294549,-0.10180616926599025,-0.041310338336925025,-0.03568808733496713,-0.029179042640768857,-0.03215413191602585,0.037596058812805457,0.3052109181141439,0.09429280397022333,0.09630617441480449,0.3920595533498759,-0.05178029590533415,on
0,0.1,3,5,0.7765794647947937,0.1375967648282855,-0.03653179179989097,0.5459953152146578,0.09136953866121063,0.014110355980256924,0.13883006576134477,-1.097423070653926,-0.31754738234972746,0.02982108466681392,-0.4360225616952981,-0.5246320043795041,0.10097689333662418,0.10004394049190982,0.201020833828534,0.25496843791220364,0.24060514556044213,0.26155352605005266,0.0,0.0,0.0,-0.0806110059259421,-0.10096092378521784,-0.037376392702982125,-0.035785888124209235,-0.02776771789429996,-0.03312446650210686,0.03507103382782723,0.2853598014888337,0.09429280397022333,0.09605202912552956,0.3920595533498759,-0.05318227611819117,on
0,0.1,3,6,0.7776778472672876,0.1371104186942816,-0.04640423882714029,0.575021675609847,0.11369424252325103,0.014584023159577636,0.13475025258842302,-1.0692348740955624,-0.3213456954407054,0.02965752237227749,-0.42764682540118365,-0.5636679465801735,0.09996954022800388,0.10882462146516574,0.2087941616931696,0.25496843791220364,0.23855941783029827,0.26155352605005266,0.0,0.0,0.0,-0.07824208214811658,-0.09836766104045351,-0.03782346690226151,-0.03558961015380618,-0.02723431640776278,-0.035589136497475464,0.03502297371763875,0.2853598014888337,0.09429280397022333,0.09769266043496339,0.3920595533498759,-0.0567178767286477,on
0,0.1,3,7,0.7632759343131035,0.13503259512987323,-0.03775696503719439,0.6297778042248314,0.1188859392455142,0.013187179298311836,0.13148570894076822,-1.0200033872845666,-0.346964670061148,0.029397105278548233,-0.4372134664263274,-0.5694782301854406,0.10317259829036479,0.11093095880961099,0.2141035570999758,0.25496843791220364,0.23674249397123778,0.26155352605005266,0.0,0.0,0.0,-0.07634654067528476,-0.09383845391817558,-0.04083890620135424,-0.03527710451942201,-0.027843559627080103,-0.035955988963668487,0.03482247140474878,0.28287841191067,0.09429280397022333,0.09678870001667816,0.3920595533498759,-0.058572972331992525,on
0,0.1,3,8,0.753339347071395,0.13509451719125942,-0.03246084610922795,0.6642565861223643,0.12185437247343549,0.012030756073100203,0.14307823178356172,-0.9880117320784955,-0.3665994860114282,0.02889002160951804,-0.4755124123389353,-0.5466823153957711,0.10928748271633658,0.10320494892672662,0.2124924316430632,0.25496843791220364,0.24169546716024662,0.26155352605005266,0.0,0.0,0.0,-0.08307768297110037,-0.09089527990498619,-0.04314998994003296,-0.0346685941432142,-0.030282594711905662,-0.034516689588998485,0.034934310670572455,0.2803970223325062,0.09429280397022333,0.09953445001039563,0.3920595533498759,-0.05154167373844884,on
0,0.1,3,9,0.7421795378829835,0.1386860449100075,-0.024291355021451855,0.6849858368049135,0.13180765447024168,0.017720695338367693,0.13847941381635465,-0.9999362680739853,-0.35360247648047327,0.029129299401760435,-0.48525390350444614,-0.55329049088595,0.11239751557545692,0.10519413632129967,0.21759165189675658,0.25496843791220364,0.23984259724033716,0.26155352605005266,0.0,0.0,0.0,-0.08040740157078656,-0.09199231549864959,-0.041620198295715886,-0.03495573220004427,-0.030902973110449983,-0.03493391973477154,0.03551263885013081,0.2853598014888337,0.09429280397022333,0.1008183454113756,0.3920595533498759,-0.05535265523136601,on
0,0.1,3,10,0.7438416068285938,0.14152071085986984,-0.02521845622048391,0.6769894715260725,0.1326545893438183,0.02101997650708849,0.1296106691788114,-0.9962188536511885,-0.3493404007998039,0.030720206774344044,-0.5176858405448721,-0.5136493235094903,0.12240355852554051,0.0990972096638288,0.2215007681893693,0.25496843791220364,0.23571160205855035,0.26155352605005266,0.0,0.0,0.0,-0.07525780791027759,-0.09165032014220569,-0.04111853768307987,-0.03686485233726761,-0.03296837283426881,-0.0324310367426846,0.03635893129470429,0.2903225806451613,0.09429280397022333,0.09778110624721502,0.3920595533498759,-0.060732874154996626,on
