seed,p,K,t,loss_ratio,off_balance,nonadopter_rate_change,coef_capacity,coef_nightlife_density,coef_prior_violations,coef_late_night_hours,coef_staff_training_score,coef_security_staff,coef_incident_response_time,coef_camera_coverage,coef_license_compliance,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,rebalance
0,0.0,3,1,0.740485873057115,0.19214553357195524,0.0,0.6689211410675007,0.13178882268629916,0.017064504179125646,0.06500866145841051,-0.9633839215622276,-0.4746140330510248,0.029874748919329577,-0.4415143415394557,-0.7148251997642625,0.11440927688321752,0.15359708417378792,0.2680063610570054,on
0,0.0,3,2,0.7445427670954623,0.18663565875349686,-0.005688908834036166,0.6632772336675988,0.1288442556291875,0.014501080902539374,0.08140643695888009,-0.9902557227993046,-0.4503222898099233,0.02858322893549218,-0.4717355445199065,-0.6705425277240944,0.11809711956055774,0.13860508370855068,0.2567022032691084,on
0,0.0,3,3,0.7491356918061667,0.18811635507089844,0.0006781901719630223,0.6010004607374493,0.10223352343601823,0.011860713879926316,0.10453174682079211,-1.0722292756682177,-0.41346507167271873,0.02869626337622495,-0.49799274446500325,-0.6084923204433432,0.11724554297827017,0.11763889164023257,0.23488443461850275,on
0,0.0,3,4,0.7622808227504966,0.18712593607426772,-0.015527732508484049,0.57616212284713,0.091429192367999,0.011321896398687512,0.13856501389840842,-1.1570055060744222,-0.35010902343902023,0.029139251740306644,-0.5152441001202158,-0.5358219225538171,0.11318743815773959,0.09624339079891028,0.20943082895664988,on
0,0.0,3,5,0.7694658978740332,0.18399734162416417,-0.02205605769733321,0.5592882250163473,0.09021105340952787,0.01205313094657127,0.14062832662582136,-1.1589707428691074,-0.3283264469812032,0.029031627994363974,-0.5085132762887281,-0.5364013958745859,0.1124105038052101,0.0970049976504881,0.20941550145569823,on
0,0.0,3,6,0.7712441181232182,0.18887778327485388,-0.03233657975952042,0.5893808205521321,0.1134576636748881,0.0119969480535725,0.13170728738504942,-1.1398654760997298,-0.33861712622280193,0.029960120344247776,-0.49348297340302827,-0.5936195507838535,0.10989006018214363,0.10862472724102952,0.21851478742317318,on
0,0.0,3,7,0.7566006835688783,0.19738600316516378,-0.022662943908203004,0.6429794782924564,0.11796545552697221,0.009194360172514604,0.12967942301908345,-1.131404033954236,-0.3732410425805182,0.03078908602787763,-0.49014628991481146,-0.6345096557912051,0.10693988884356322,0.11394654613108178,0.220886434974645,on
0,0.0,3,8,0.7460683841848789,0.20928086576689472,-0.0162617508295424,0.6769627230858526,0.12094491086164844,0.0065792668546165445,0.13856203167124445,-1.141631160887233,-0.3942372509715884,0.031514950575472385,-0.5125836549900351,-0.6666044457400735,0.10655735403910783,0.1139494457505616,0.22050679978966942,on
0,0.0,3,9,0.737725102272998,0.2150675754022307,-0.011460659492782743,0.6955579896221912,0.1297935373757869,0.012083701229460278,0.13706682429732256,-1.1569290400874543,-0.3887881647293282,0.031667502850388406,-0.5151303442165376,-0.6793208072905765,0.10676659718810198,0.11580899196906079,0.22257558915716277,on
0,0.0,3,10,0.7411978264835044,0.21037727180190996,-0.014449751219779983,0.6859884423598072,0.13056202065730205,0.01653624821768764,0.1291522251253464,-1.1293265704218776,-0.387156089481284,0.03232177676012952,-0.5221254871402528,-0.6348362203911361,0.11194827936710841,0.1116524795296888,0.22360075889679723,on
