seed,cap,weight,setting,p,kept_t1,kept_t10,gap_proxy_heavy_t1,gap_proxy_heavy_t10,gap_causal_only_t1,share_proxy_heavy,noncausal_t1,noncausal_t10,camera_coef_t10,peak_lr,at_cap_t1
0,0.15,0.2,baseline,0.25,0.8080731546917045,0.9848300409452194,0.4006177283860188,1.0616482758169126,-14.957296254244323,0.10211946050096339,0.2347228988296132,0.16310840456259304,-0.4342748633710806,0.7978540073938399,0.220616570327553
0,0.15,0.2,baseline,0.5,0.7944376817017046,0.9088718926333174,0.9472595812842578,1.0895628819157095,-15.367881617783038,0.09686888454011741,0.2347228988296132,0.17349342574308557,-0.4554902936257212,0.8625594715278226,0.224559686888454
0,0.15,0.2,baseline,1.0,0.7953218598058167,1.2271540112506985,0.6895334051119201,5.6529831003518325,-15.468623238647716,0.09854198089492207,0.2347228988296132,0.14429957590309156,-0.48348689058199995,1.0734615068070583,0.2330316742081448
0,0.15,0.2,camera=0.1,0.5,0.7863456818387434,0.9763442219027034,-0.9349097670936924,-0.8032362734550433,-15.890975312454653,0.1119804400977995,0.16295772712555942,0.08415501060118888,-0.5031797013944314,0.8720766173561502,0.2449877750611247
0,0.15,0.2,camera=0.3,0.5,0.7867414804421374,0.9560895056717011,-5.551940147138907,-5.086951080655255,-15.749586068327906,0.11827956989247312,0.12953185409380905,0.07271546779897006,-0.571883750890172,0.8756454930205103,0.28690127077223854
1,0.15,0.2,baseline,0.25,0.8438264661729205,0.6924863220175888,0.25481046979079147,-1.7402139697365082,-15.44365084020773,0.1298449612403101,0.21216998944383883,0.23575322857934228,-0.38197881392156696,0.7958882461723912,0.24321705426356588
1,0.15,0.2,baseline,0.5,0.8559313046427524,0.7000665494757725,0.4877783236394698,-1.8186761284620756,-15.648339430819838,0.12714776632302405,0.21216998944383883,0.22180514148072122,-0.2886248922977988,0.8634467946083527,0.2341678939617084
1,0.15,0.2,baseline,1.0,0.8574310030928509,1.0686926449448486,0.5726132290238828,1.92040535593165,-15.851670293398362,0.12817290776577028,0.21216998944383883,0.1197570271168881,-0.2887982838516192,1.0709256057840815,0.2372455390801709
1,0.15,0.2,camera=0.1,0.5,0.8560366621279003,0.7584487472868116,-1.1902189662473797,-3.134243981393097,-14.785616496218646,0.1465686274509804,0.14423856249724376,0.11782896481704737,-0.3508705841153727,0.8701619027301535,0.25245098039215685
1,0.15,0.2,camera=0.3,0.5,0.8687582622952852,0.7132952118934706,-4.043112956764775,-6.656872774232466,-14.688764603646149,0.14461387112641416,0.05863406316479716,0.12836121746853563,-0.422289959713636,0.8572400062127473,0.2769306443679292
2,0.15,0.2,baseline,0.25,0.8671606508625168,0.6049831517876136,2.2591457652341895,-0.5374480506367836,-12.132228345071926,0.06935817805383022,0.21416774569289765,0.26441741576505806,-0.6978672635122586,0.7748317974165887,0.20496894409937888
2,0.15,0.2,baseline,0.5,0.8582630596607452,0.5681605371906253,3.0977015674316033,-1.5289784664996815,-12.429369132058513,0.06810215322984477,0.21416774569289765,0.2345369068223324,-0.5955383999770764,0.834991251518169,0.21031547320981472
2,0.15,0.2,baseline,1.0,0.8555150072279832,0.8287519186192679,3.7119527273890998,1.1593965587663346,-12.737121377895773,0.06437012823736485,0.21416774569289765,0.1441997806792569,-0.5403007295414165,1.0236897148789716,0.21020870002514458
2,0.15,0.2,camera=0.1,0.5,0.8540380846737947,0.545635517619581,2.3257930225582926,-3.7156802509804194,-12.387858299047492,0.08112168252378568,0.1527728326266055,0.13969293579309466,-0.5243503651828353,0.8429779250178298,0.24336504757135705
2,0.15,0.2,camera=0.3,0.5,0.854800424067035,0.5619171678239514,-2.7055976825069004,-7.400446698468996,-12.408734057036746,0.08312468703054582,0.10711809393953237,0.09823429212985756,-0.7097792751761234,0.8379502212126821,0.2819228843264897
3,0.15,0.2,baseline,0.25,0.8342459288056056,0.9023800663530609,1.2306019914672246,0.9657182835423108,-13.923354247326944,0.11546184738955824,0.18724435309343423,0.12808034583186012,-0.40231051970688075,0.7993699092535408,0.20180722891566266
3,0.15,0.2,baseline,0.5,0.8374637530898692,0.9051397615445954,0.5318064141810898,0.5848811898425458,-14.093492950679307,0.11464968152866242,0.18724435309343423,0.14242846459038472,-0.4385703014986452,0.8555841710138117,0.21313081822635963
3,0.15,0.2,baseline,1.0,0.8342016145555999,1.1344646192683217,0.33902437559691506,4.019634955016509,-14.18390096528997,0.11886174767061193,0.18724435309343423,0.14133234437276626,-0.4689006042754478,1.053262907724564,0.20070511206245278
3,0.15,0.2,camera=0.1,0.5,0.8327355387366896,0.8670765528293272,-0.6668835564243214,-1.5785809404356026,-13.935207184669443,0.1121999020088192,0.11358172592785235,0.05774293087933364,-0.39830172880443104,0.8547886732604827,0.23713865752082314
3,0.15,0.2,camera=0.3,0.5,0.8396619879268763,0.8723582907601108,-3.512788545968747,-4.694774821430245,-13.147967583981423,0.13215859030837004,0.0867301067974769,0.049496815646895585,-0.4479555888208702,0.8603274989150291,0.2574645129711209
4,0.15,0.2,baseline,0.25,0.9097853401364465,0.5859086735520168,5.196808163196196,1.7403714762431626,-10.728133794832601,0.02737047898338221,0.12873959510084776,0.2416532637215495,-0.6460015566399552,0.8085457833560489,0.2130987292277615
4,0.15,0.2,baseline,0.5,0.9096877005807257,0.5413026026152729,6.101468824196699,3.019590383993299,-10.545265286966874,0.02909647779479326,0.12873959510084776,0.28876820608828435,-0.751269823026935,0.8592820449774188,0.2164369576314446
4,0.15,0.2,baseline,1.0,0.9139196073656841,0.7687633640902175,5.594281244451002,4.815461319665506,-10.746352931949119,0.029922051797837565,0.12873959510084776,0.19290254981227842,-0.6293188447284482,1.0615023693220313,0.21624339954739755
4,0.15,0.2,camera=0.1,0.5,0.9157020864264973,0.5665621575030098,4.244312193942315,1.0324670437747643,-10.262336335600484,0.03115423901940756,0.07408175606673612,0.17857964067258725,-0.6390389631929694,0.8595310011234022,0.24616956077630234
4,0.15,0.2,camera=0.3,0.5,0.901280782601179,0.5814671682594571,-0.17099317793066546,-3.2453440519982295,-10.95193743948695,0.04686704024452369,0.07566149081626597,0.08400109315616901,-0.785478583566478,0.8544457625789913,0.2730514518593989
5,0.15,0.2,baseline,0.25,0.9183115528048115,0.641987691994489,10.476722250180519,5.200877762961575,-10.031643493424182,0.06796116504854369,0.17613851078294113,0.2216139261782514,-0.44030644760350707,0.7956115220919726,0.16601941747572815
5,0.15,0.2,baseline,0.5,0.9178574326655893,0.6090529135019171,10.428269397092766,4.688456754399226,-9.251052625587448,0.07535944471988101,0.17613851078294113,0.22198857642135522,-0.32129619511020735,0.854008021470817,0.18443232523549827
5,0.15,0.2,baseline,1.0,0.9223970597188166,0.8677140341132328,11.005039255146709,9.573995294802167,-9.442770738678716,0.07642031171442937,0.17613851078294113,0.17534093774308596,-0.598330063899223,1.051662982182084,0.17998994469582705
